_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
689eadc97781ba202394ad1d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,EL SAGRARIO,010104,UNIDAD EDUCATIVA PARTICULAR ROSA DE JESUS CORDERO,01B00002,Ordinario,Particular,Urbana,Sierra,Intercultural,86,10,96,1473,0,1473,1455,0,0,0,18,0
689eadc97781ba202394ad1e,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,MONAY,010109,CEBCI,01B00010,Ordinario,Particular,Urbana,Sierra,Intercultural Bilingüe,19,6,25,148,179,327,311,3,0,0,9,4
689eadc97781ba202394ad1f,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,BAÑOS,010151,CENTRO EDUCATIVO ROUSSEAU,01B00019,Ordinario,Particular,Rural,Sierra,Intercultural Bilingüe,9,1,10,17,23,40,39,0,0,0,1,0
689eadc97781ba202394ad20,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,BAÑOS,010151,COLEGIO INTERCULTURAL BILINGUE DE  NARANCAY,01B00020,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,10,7,17,132,132,264,264,0,0,0,0,0
689eadc97781ba202394ad21,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,CHAUCHA,010153,SEIS DE JUNIO,01B00021,Ordinario,Fiscal,Rural,Costa,Intercultural Bilingüe,0,1,1,18,6,24,24,0,0,0,0,0
689eadc97781ba202394ad22,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,GIL RAMIREZ DAVALOS,010106,LA PAZ INTERCULTURAL BILINGUE AZUAY,01B00022,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,2,3,5,141,131,272,272,0,0,0,0,0
689eadc97781ba202394ad23,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,MOLLETURO,010157,LA PAZ,01B00023,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,21,21,42,42,0,0,0,0,0
689eadc97781ba202394ad24,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,QUINGEO,010161,ESCUELA MONSEÑOR LEONIDAS PROAÑO II,01B00027,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,69,58,127,127,0,0,0,0,0
689eadc97781ba202394ad25,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,QUINGEO,010161,ESTRELLA DE SAN JOSE,01B00028,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,0,1,12,5,17,17,0,0,0,0,0
689eadc97781ba202394ad26,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,QUINGEO,010161,SIN NOMBRE,01B00029,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,0,2,30,25,55,55,0,0,0,0,0
689eadc97781ba202394ad27,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,RICAURTE,010162,BUENA ESPERANZA,01B00030,Ordinario,Particular,Rural,Sierra,Intercultural,4,1,5,44,34,78,78,0,0,0,0,0
689eadc97781ba202394ad28,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,SANTA ANA,010164,MONTE SINAI,01B00031,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,3,1,4,37,42,79,79,0,0,0,0,0
689eadc97781ba202394ad29,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,TARQUI,010168,XAVIER MUÑOZ CHAVEZ,01B00032,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,0,4,4,25,32,57,57,0,0,0,0,0
689eadc97781ba202394ad2a,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,TARQUI,010168,TUTUPALI CHICO NARANCAY ALTO,01B00033,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,0,0,0,9,17,26,26,0,0,0,0,0
689eadc97781ba202394ad2b,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,0101,TURI,010169,CESAR VICTORIANO MARTINEZ VERDUGO,01B00034,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,1,3,29,39,68,68,0,0,0,0,0
